iter	Passed	Remaining
799	17625	48470
800	17638	48423
801	17645	48361
802	17658	48313
803	17670	48263
804	17680	48209
805	17700	48182
806	17720	48154
807	17740	48128
808	17760	48101
809	17783	48080
810	17818	48093
811	17833	48052
812	17838	47986
813	17845	47924
814	17851	47858
815	17857	47794
816	17862	47729
817	17869	47665
818	17874	47600
819	17880	47536
820	17893	47490
821	17899	47427
822	17912	47383
823	17926	47340
824	17942	47302
825	17951	47246
826	17964	47202
827	17975	47154
828	17985	47101
829	17994	47045
830	18000	46982
831	18005	46918
832	18013	46860
833	18018	46796
834	18025	46735
835	18049	46720
836	18068	46692
837	18077	46638
838	18083	46576
839	18089	46516
840	18096	46456
841	18106	46404
842	18115	46352
843	18126	46305
844	18136	46253
845	18144	46198
846	18156	46152
847	18168	46108
848	18178	46057
849	18190	46011
850	18197	45952
851	18204	45895
852	18209	45832
853	18215	45773
854	18220	45711
855	18226	45652
856	18232	45592
857	18238	45531
858	18244	45473
859	18249	45412
860	18256	45354
861	18262	45295
862	18269	45238
863	18297	45235
864	18310	45193
865	18321	45148
866	18332	45102
867	18343	45054
868	18354	45009
869	18366	44966
870	18371	44906
871	18383	44861
872	18395	44818
873	18400	44758
874	18407	44704
875	18413	44647
876	18419	44588
877	18425	44532
878	18431	44473
879	18436	44416
880	18442	44358
881	18448	44302
882	18455	44246
883	18462	44192
884	18468	44135
885	18475	44083
886	18481	44025
887	18487	43970
888	18494	43915
889	18505	43872
890	18512	43820
891	18587	43925
892	18594	43873
893	18603	43823
894	18610	43770
895	18615	43714
896	18622	43660
897	18627	43603
898	18634	43548
899	18639	43492
900	18645	43437
901	18651	43382
902	18658	43329
903	18664	43274
904	18670	43220
905	18677	43167
906	18689	43126
907	18698	43080
908	18709	43038
909	18722	43000
910	18798	43105
911	18809	43064
912	18815	43009
913	18822	42957
914	18827	42901
915	18834	42849
916	18839	42795
917	18846	42742
918	18852	42690
919	18858	42637
920	18867	42589
921	18874	42538
922	18882	42490
923	18890	42441
924	18901	42401
925	18912	42358
926	18923	42316
927	18932	42271
928	18940	42223
929	18951	42181
930	18963	42142
931	18990	42137
932	18996	42086
933	19002	42034
934	19009	41984
935	19015	41931
936	19022	41881
937	19028	41830
938	19035	41779
939	19040	41726
940	19047	41677
941	19053	41626
942	19060	41576
943	19065	41524
944	19075	41481
945	19081	41429
946	19094	41395
947	19106	41357
948	19120	41323
949	19127	41276
950	19140	41240
951	19153	41204
952	19162	41160
953	19174	41122
954	19183	41078
955	19188	41027
